详细版：根据荷兰公司使用的方式进行价格计算，适用于给荷兰人或者顾客需要细节的时候的解释,,,,,,使用说明,加内容的时候使用上下插入行，不要拖动。新增工作内容的时候，细分的工作类型最后需要用 - 结尾，请参考已有的项目,,,,,,,,,,,,,,
价格单位,欧元,,,,,,,,,,,,,,,,,,,,
编号,工种,工作类型,工作类型（细分）,人工,单位,材料,单位,总单位价,固定起始费用,额外运费,人工利润率,运营费用 / 单位,材料风险利润率,材料风险费用,总人工价格/单位,总材料价/单位,总价/单位,运输系数,开票收入税补贴,税率,含税价格/单位
1,木工,隔墙,木框架,36,m2,20,m2,56,0,0,25%,9,5%,1,45,21,66,0.25,10%,21%,87.846
,,,金属框架（例如浴室）,36,m2,25,m2,61,0,0,25%,9,5%,1.25,45,26.25,71.25,0.25,10%,21%,94.83375
,,,安装平开木门,220,个,250,个,470,0,100,25%,55,5%,12.5,275,262.5,537.5,0.25,10%,21%,715.4125
,,,安装平开金属门,330,个,400,个,730,0,100,25%,82.5,5%,20,412.5,420,832.5,0.25,10%,21%,1108.0575
,,,安装木移门,330,个,0,个,330,0,100,25%,82.5,5%,0,412.5,0,412.5,0.25,10%,21%,549.0375
,,,安装金属移门,440,个,0,个,440,0,100,25%,110,5%,0,550,0,550,0.25,10%,21%,732.05
,,,新木门刷漆,150,个,80,个,230,0,0,25%,37.5,5%,4,187.5,84,271.5,0.25,10%,21%,361.3665
,,,新墙面电力布置,8,m2,10,m2,18,100,0,25%,2,5%,0.5,10,10.5,20.5,0.25,10%,21%,27.2855
,,,-,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,铺地板,拆旧地板（无钉子）,2,m2,0,m2,2,0,0,20%,0.4,5%,0,2.4,0,2.4,0.25,10%,21%,3.1944
,,,拆旧地板（有钉子）,6,m2,0,m2,6,0,0,20%,1.2,5%,0,7.2,0,7.2,0.25,10%,21%,9.5832
,,,铺底层底板,1.5,m2,0,m2,1.5,0,0,20%,0.3,5%,0,1.8,0,1.8,0.25,10%,21%,2.3958
,,,铺地板(平铺),15,m2,0,m2,15,0,0,20%,3,5%,0,18,0,18,0.25,10%,21%,23.958
,,,铺地板(斜铺：鱼骨，人字等),30,m2,0,m2,30,0,0,20%,6,5%,0,36,0,36,0.25,10%,21%,47.916
,,,踢脚线,5,m,0,m,5,0,0,20%,1,5%,0,6,0,6,0.25,10%,21%,7.986
,,,-,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,吊顶,拆老的吊顶,7,m2,0,m2,7,0,0,20%,1.4,5%,0,8.4,0,8.4,0.25,10%,21%,11.1804
,,,全新吊顶木结构+石膏板,40,m2,20,m2,60,0,0,25%,10,5%,1,50,21,71,0.25,10%,21%,94.501
,,,老天花板木条找平+石膏板,30,m2,14,m2,44,0,0,25%,7.5,5%,0.7,37.5,14.7,52.2,0.25,10%,21%,69.4782
,,,双眼皮吊顶,60,m,15,m,75,0,0,25%,15,5%,0.75,75,15.75,90.75,0.25,10%,21%,120.78825
,,,吊顶批灰,20,m2,3.5,m2,23.5,0,0,25%,5,5%,0.175,25,3.675,28.675,1.5,10%,21%,38.166425
,,,-,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,楼梯,翻新楼梯踏面,40,级,0,级,40,0,0,25%,10,5%,0,50,0,50,0.25,10%,21%,66.55
,,,拆除旧楼梯,3.5,级,0,级,3.5,0,0,20%,0.7,5%,0,4.2,0,4.2,0.25,10%,21%,5.5902
,,,旧楼梯除胶,8.5,级,2,级,10.5,0,0,25%,2.125,5%,0.1,10.625,2.1,12.725,0.25,10%,21%,16.936975
,,,刷漆,9,级,4,级,13,0,0,25%,2.25,5%,0.2,11.25,4.2,15.45,0.25,10%,21%,20.56395
,,,安装灯,22,级,0,级,22,0,0,25%,5.5,5%,0,27.5,0,27.5,0.25,10%,21%,36.6025
